game_date,home_team_abbr,away_team_abbr,source,line_type,home_ml,away_ml,home_spread
2020-12-22,BKN,GSW,kaggle_nba_betting,close,-320,265,-7.5
2020-12-22,LAL,LAC,kaggle_nba_betting,close,-135,115,-2.0
2020-12-23,CLE,CHA,kaggle_nba_betting,close,120,-140,3.0
2020-12-23,IND,NYK,kaggle_nba_betting,close,-330,270,-7.5
2020-12-23,ORL,MIA,kaggle_nba_betting,close,170,-190,4.5
2020-12-23,PHI,WAS,kaggle_nba_betting,close,-300,250,-7.0
2020-12-23,BOS,MIL,kaggle_nba_betting,close,170,-190,4.5
2020-12-23,TOR,NOP,kaggle_nba_betting,close,-170,150,-3.5
2020-12-23,CHI,ATL,kaggle_nba_betting,close,110,-130,2.0
2020-12-23,MEM,SAS,kaggle_nba_betting,close,-130,110,-2.0
2020-12-23,MIN,DET,kaggle_nba_betting,close,-220,190,-5.5
2020-12-23,DEN,SAC,kaggle_nba_betting,close,-310,260,-7.5
2020-12-23,POR,UTA,kaggle_nba_betting,close,110,-130,1.5
2020-12-23,PHX,DAL,kaggle_nba_betting,close,-120,100,-1.5
2020-12-25,MIA,NOP,kaggle_nba_betting,close,-150,130,-3.0
2020-12-25,MIL,GSW,kaggle_nba_betting,close,-600,450,-10.0
2020-12-25,BOS,BKN,kaggle_nba_betting,close,125,-145,3.0
2020-12-25,LAL,DAL,kaggle_nba_betting,close,-265,225,-6.0
2020-12-25,DEN,LAC,kaggle_nba_betting,close,140,-160,3.5
2020-12-26,MEM,ATL,kaggle_nba_betting,close,-140,120,-2.5
2020-12-26,DET,CLE,kaggle_nba_betting,close,-110,-110,-0.0
2020-12-26,WAS,ORL,kaggle_nba_betting,close,-130,110,-1.5
2020-12-26,CHA,OKC,kaggle_nba_betting,close,-145,125,-3.0
2020-12-26,NYK,PHI,kaggle_nba_betting,close,300,-360,8.0
2020-12-26,CHI,IND,kaggle_nba_betting,close,200,-240,6.0
2020-12-26,SAS,TOR,kaggle_nba_betting,close,125,-145,2.5
2020-12-26,UTA,MIN,kaggle_nba_betting,close,-450,375,-9.5
2020-12-26,SAC,PHX,kaggle_nba_betting,close,140,-160,3.5
2020-12-26,POR,HOU,kaggle_nba_betting,close,-360,300,-7.5
2020-12-27,LAC,DAL,kaggle_nba_betting,close,-160,140,-3.0
2020-12-27,NOP,SAS,kaggle_nba_betting,close,-190,170,-5.0
2020-12-27,WAS,ORL,kaggle_nba_betting,close,110,-130,2.0
2020-12-27,CHA,BKN,kaggle_nba_betting,close,450,-600,11.5
2020-12-27,CLE,PHI,kaggle_nba_betting,close,200,-240,6.0
2020-12-27,NYK,MIL,kaggle_nba_betting,close,750,-1200,13.0
2020-12-27,IND,BOS,kaggle_nba_betting,close,115,-135,3.0
2020-12-27,CHI,GSW,kaggle_nba_betting,close,145,-165,3.5
2020-12-27,SAC,PHX,kaggle_nba_betting,close,140,-160,3.0
2020-12-27,LAL,MIN,kaggle_nba_betting,close,-500,400,-10.5
2020-12-28,BKN,MEM,kaggle_nba_betting,close,105,-125,1.5
2020-12-28,ATL,DET,kaggle_nba_betting,close,-500,400,-10.5
2020-12-28,OKC,UTA,kaggle_nba_betting,close,330,-400,9.0
2020-12-28,DEN,HOU,kaggle_nba_betting,close,-265,225,-6.5
2020-12-28,LAL,POR,kaggle_nba_betting,close,-230,195,-6.0
2020-12-29,IND,BOS,kaggle_nba_betting,close,-115,-105,-1.0
2020-12-29,WAS,CHI,kaggle_nba_betting,close,-250,210,-6.5
2020-12-29,DET,GSW,kaggle_nba_betting,close,150,-170,4.5
2020-12-29,PHI,TOR,kaggle_nba_betting,close,-125,105,-1.5
2020-12-29,CLE,NYK,kaggle_nba_betting,close,-160,140,-3.5
2020-12-29,MIA,MIL,kaggle_nba_betting,close,200,-240,6.0
2020-12-29,OKC,ORL,kaggle_nba_betting,close,210,-250,6.5
2020-12-29,LAC,MIN,kaggle_nba_betting,close,-650,475,-10.5
2020-12-29,PHX,NOP,kaggle_nba_betting,close,-125,105,-1.5
2020-12-29,SAC,DEN,kaggle_nba_betting,close,-110,-110,-1.0
2020-12-30,BOS,MEM,kaggle_nba_betting,close,-285,245,-7.0
2020-12-30,MIA,MIL,kaggle_nba_betting,close,220,-260,6.5
2020-12-30,BKN,ATL,kaggle_nba_betting,close,-230,195,-5.5
2020-12-30,DAL,CHA,kaggle_nba_betting,close,-360,300,-8.0
2020-12-30,SAS,LAL,kaggle_nba_betting,close,260,-310,7.5
2020-12-30,LAC,POR,kaggle_nba_betting,close,-220,190,-6.0
2020-12-31,IND,CLE,kaggle_nba_betting,close,-330,270,-8.0
2020-12-31,WAS,CHI,kaggle_nba_betting,close,-300,250,-7.5
2020-12-31,ORL,PHI,kaggle_nba_betting,close,155,-175,4.0
2020-12-31,HOU,SAC,kaggle_nba_betting,close,-210,180,-5.5
2020-12-31,TOR,NYK,kaggle_nba_betting,close,-360,300,-8.5
2020-12-31,OKC,NOP,kaggle_nba_betting,close,175,-200,5.5
2020-12-31,UTA,PHX,kaggle_nba_betting,close,-170,150,-4.0
2021-01-01,DET,BOS,kaggle_nba_betting,close,310,-370,8.5
2021-01-01,DAL,MIA,kaggle_nba_betting,close,-105,-115,1.5
2021-01-01,CHA,MEM,kaggle_nba_betting,close,-180,160,-4.0
2021-01-01,BKN,ATL,kaggle_nba_betting,close,-250,210,-6.0
2021-01-01,MIN,WAS,kaggle_nba_betting,close,-110,-110,1.0
2021-01-01,SAS,LAL,kaggle_nba_betting,close,280,-340,7.5
2021-01-01,MIL,CHI,kaggle_nba_betting,close,-1500,850,-14.5
2021-01-01,DEN,PHX,kaggle_nba_betting,close,-160,140,-3.5
2021-01-01,UTA,LAC,kaggle_nba_betting,close,140,-160,3.0
2021-01-01,GSW,POR,kaggle_nba_betting,close,130,-150,3.5
2021-01-02,HOU,SAC,kaggle_nba_betting,close,110,-130,2.0
2021-01-02,PHI,CHA,kaggle_nba_betting,close,-500,400,-10.0
2021-01-02,ORL,OKC,kaggle_nba_betting,close,-175,155,-4.5
2021-01-02,IND,NYK,kaggle_nba_betting,close,-450,375,-9.5
2021-01-02,NOP,TOR,kaggle_nba_betting,close,-105,-115,1.0
2021-01-02,ATL,CLE,kaggle_nba_betting,close,-240,200,-5.5
2021-01-03,DET,BOS,kaggle_nba_betting,close,300,-360,8.0
2021-01-03,BKN,WAS,kaggle_nba_betting,close,-330,270,-7.5
2021-01-03,MEM,LAL,kaggle_nba_betting,close,400,-500,10.0
2021-01-03,SAS,UTA,kaggle_nba_betting,close,190,-220,5.5
2021-01-03,MIN,DEN,kaggle_nba_betting,close,300,-360,8.5
2021-01-03,PHX,LAC,kaggle_nba_betting,close,130,-150,3.5
2021-01-03,CHI,DAL,kaggle_nba_betting,close,150,-170,4.0
2021-01-03,GSW,POR,kaggle_nba_betting,close,170,-190,4.5
2021-01-04,PHI,CHA,kaggle_nba_betting,close,-350,290,-8.0
2021-01-04,ORL,CLE,kaggle_nba_betting,close,-220,190,-6.0
2021-01-04,MIA,OKC,kaggle_nba_betting,close,-420,350,-9.0
2021-01-04,ATL,NYK,kaggle_nba_betting,close,-300,250,-7.0
2021-01-04,TOR,BOS,kaggle_nba_betting,close,-240,200,-6.0
2021-01-04,HOU,DAL,kaggle_nba_betting,close,-170,150,-4.0
2021-01-04,NOP,IND,kaggle_nba_betting,close,-125,105,-1.5
2021-01-04,MIL,DET,kaggle_nba_betting,close,-2500,1100,-16.0
2021-01-04,GSW,SAC,kaggle_nba_betting,close,105,-125,1.5
2021-01-05,BKN,UTA,kaggle_nba_betting,close,160,-180,4.5
2021-01-05,MEM,LAL,kaggle_nba_betting,close,380,-460,9.5
2021-01-05,DEN,MIN,kaggle_nba_betting,close,-650,475,-10.5
2021-01-05,LAC,SAS,kaggle_nba_betting,close,-310,260,-7.0
2021-01-05,POR,CHI,kaggle_nba_betting,close,-450,375,-9.5
2021-01-06,IND,HOU,kaggle_nba_betting,close,-145,125,-3.0
2021-01-06,PHI,WAS,kaggle_nba_betting,close,-260,220,-6.5
2021-01-06,ORL,CLE,kaggle_nba_betting,close,-210,180,-5.0
2021-01-06,MIA,BOS,kaggle_nba_betting,close,-140,120,-2.5
2021-01-06,ATL,CHA,kaggle_nba_betting,close,-250,210,-6.0
2021-01-06,NYK,UTA,kaggle_nba_betting,close,260,-310,8.0
2021-01-06,NOP,OKC,kaggle_nba_betting,close,-330,270,-8.0
2021-01-06,MIL,DET,kaggle_nba_betting,close,-1000,650,-11.5
2021-01-06,PHX,TOR,kaggle_nba_betting,close,-150,130,-3.0
2021-01-06,SAC,CHI,kaggle_nba_betting,close,-300,250,-6.5
2021-01-06,GSW,LAC,kaggle_nba_betting,close,180,-210,5.0
2021-01-07,BKN,PHI,kaggle_nba_betting,close,160,-180,4.0
2021-01-07,MEM,CLE,kaggle_nba_betting,close,-240,200,-6.0
2021-01-07,POR,MIN,kaggle_nba_betting,close,-500,400,-10.0
2021-01-07,DEN,DAL,kaggle_nba_betting,close,-145,125,-2.5
2021-01-07,LAL,SAS,kaggle_nba_betting,close,-400,330,-8.5
2021-01-08,DET,PHX,kaggle_nba_betting,close,270,-330,8.0
2021-01-08,NOP,CHA,kaggle_nba_betting,close,-270,230,-7.5
2021-01-08,BOS,WAS,kaggle_nba_betting,close,-175,155,-3.5
2021-01-08,NYK,OKC,kaggle_nba_betting,close,-150,130,-3.0
2021-01-08,MIL,UTA,kaggle_nba_betting,close,-240,200,-6.0
